Traditional	Study Order	Variants	Simplified	Pinyin	Keyword	Meaning	Examples	Examples Pinyin	Sound	Frequency	Zhuyin	Vocabulary Zhuyin	Stroke Order	Etymology	Gif
罷	1154		罢	bà	cease	cease, finish, stop; give up	罷工 罷了	bàgōng bàle	[sound:mp3/ba4.mp3]	990	ㄅㄚ`	ㄅㄚ`ㄍㄨㄥ   ㄅㄚ`ㄌㄜ˙	['㇑', '㇕', '㇑', '㇑', '㇐', '㇜', '㇔', '㇑', '㇆', '㇐', '㇐', '㇒', '㇟', '㇒', '㇟']	The lower element was originally 卑 (flatten or lower). The addition of 罒 net indicated the spreading/lowering of a net over prey, ending a hunt. *Leave* (off), *stop* and *end* are associated meanings. In the present form, 卑 is replaced by 能 (bear). 	images-large/7f62-large.gif
巧	1155		巧	qiǎo	adroit	skillful, ingenious, clever	巧克力 技巧 巧妙	qiǎokèlì jìqiǎo qiǎomiào	[sound:mp3/qiao3.mp3]	991	ㄑㄧㄠˇ	ㄑㄧㄠˇㄎㄜ`ㄌㄧ`  ㄐㄧ`ㄑㄧㄠˇ  ㄑㄧㄠˇㄇㄧㄠ`	['㇐', '㇑', '㇐', '㇐', '㇉']	丂# as described in 号 (extend then bend) + 工 work | a piece of work characterized by curved lines | *skill*; *ingenuity*. 	images-large/5de7-large.gif
彗	1156		彗	huì		broomstick; comet	彗星	huìxīng	[sound:mp3/hui4.mp3]	3074	ㄏㄨㄟ`	ㄏㄨㄟ`ㄒㄧㄥ 	['㇐', '㇐', '㇐', '㇑', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐']	The relevant seal inscription form shows 又# hand wrapped around the bamboo handle of a *broom* (compare 帚) | *brush*; *sweep*. *Comet* is via assigning 彗 the signification of the compound 彗星. 	images-large/5f57-large.gif
慧	1157		慧	huì	intelligent	bright, intelligent; intelligence	智慧	zhìhuì	[sound:mp3/hui4.mp3]	992	ㄏㄨㄟ`	ㄓ`ㄏㄨㄟ`	['㇐', '㇐', '㇐', '㇑', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐', '㇔', '㇃', '㇔', '㇔']	彗# comet (| bright object) + 心 heart/emotions | *bright*; *intelligent*; *wise* (← intelligence likened to a bright comet within the mind). 	images-large/6167-large.gif
穿	1158		穿	chuān	pass through	penetrate, pierce, drill; wear	穿梭	chuānsuō	[sound:mp3/chuan1.mp3]	993	ㄔㄨㄢ	ㄔㄨㄢ ㄙㄨㄛ 	['㇔', '㇔', '㇖', '㇒', '㇏', '㇐', '㇗', '㇚', '㇒']	穴# hole + 牙 fangs/mesh | using fangs, pierce a hole | *make a hole*; *dig*; *drill* | *pass through*; *pass an object through*; *penetration*; *investigate thoroughly*. Also, *wear/put on* (footwear) (← foot that penetrates the hole of footwear). For the idea of piercing, compare 串 and 丱. 	images-large/7a7f-large.gif
詳	1159		详	xiáng	detailed	detailed, complete, thorough	詳細 安詳 周詳	xiángxì ānxiáng zhōuxiáng	[sound:mp3/xiang2.mp3]	994	ㄒㄧㄤˊ	ㄒㄧㄤˊㄒㄧ`  ㄢ ㄒㄧㄤˊ  ㄓㄡ ㄒㄧㄤˊ	['㇔', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐', '㇔', '㇒', '㇐', '㇐', '㇐', '㇑']	As per 羊# (abundant) + 言 words | abundant words | *detailed*. Also, *familiarity* (← have detailed knowledge of something). 	images-large/8be6-large.gif
雷	1160		雷	léi	thunder	thunder	雷達 雷同	léidá léitóng	[sound:mp3/lei2.mp3]	995	ㄌㄟˊ	ㄌㄟˊㄉㄚˊ  ㄌㄟˊㄊㄨㄥˊ	['㇐', '㇔', '㇖', '㇑', '㇐', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐', '㇑', '㇐']	Once 畾# as described in 壘 (pile) + 雨 rain/natural phenomena | successive (= figuratively piled) claps of *thunder* | *lightning*. 	images-large/96f7-large.gif
協	1161		协	xié	cooperate	be united; cooperate	協助 妥協 協辦	xiézhù tuǒxié xiébàn	[sound:mp3/xie2.mp3]	996	ㄒㄧㄝˊ	ㄒㄧㄝˊㄓㄨ`  ㄊㄨㄛˇㄒㄧㄝˊ  ㄒㄧㄝˊㄅㄢ`	['㇐', '㇑', '㇆', '㇓', '㇆', '㇓', '㇆', '㇓']	劦 triples 力 power/energy | the combined, harmonious power of many persons, pressing on a central point from two or more sides. 協 is 劦# + 十 (gather) | the united energies of many | *unite*; *cooperation*. 	images-large/534f-large.gif
叔	1162		叔	shū	uncle	father's younger brother	叔叔	shūshu	[sound:mp3/shu1.mp3]	1998	ㄕㄨ	ㄕㄨ ㄕㄨ˙	['㇑', '㇐', '㇐', '㇚', '㇒', '㇔', '㇇', '㇏']	尗# shows a pendent, twisted bean vine (compare 弔, 弗, and 弟) + 小 small/slender | slender, hanging vine (compare also 寂). 叔 adds 又 hand/action indicator | pick beans from a slender, hanging vine | end | younger brother of one's father (← younger siblings on a figurative family vine ← beans on a vine; compare 弟 younger brother) | *uncle* (younger or older, either one). 	images-large/53d4-large.gif
督	1163		督	dū	superintend	supervise, oversee, direct	基督教 督促 基督	Jīdūjiào dūcù Jīdū	[sound:mp3/du1.mp3]	997	ㄉㄨ	ㄐㄧ ㄉㄨ ㄐㄧㄠ`  ㄉㄨ ㄘㄨ`  ㄐㄧ ㄉㄨ 	['㇑', '㇐', '㇐', '㇚', '㇒', '㇔', '㇇', '㇏', '㇑', '㇕', '㇐', '㇐', '㇐']	As per 叔# (slender and pendent) + 目 eye | watch over, the eyes figuratively hanging overhead | *supervise*; *command*. Compare 監 and 臨. 	images-large/7763-large.gif
