Traditional	Study Order	Variants	Simplified	Pinyin	Keyword	Meaning	Examples	Examples Pinyin	Sound	Frequency	Zhuyin	Vocabulary Zhuyin	Stroke Order	Etymology	Gif
展	752		展	zhǎn	unfold	open, unfold; stretch, extend	發展 展出 展開	fāzhǎn zhǎnchū zhǎnkāi	[sound:mp3/zhan3.mp3]	584	ㄓㄢˇ	ㄈㄚ ㄓㄢˇ  ㄓㄢˇㄔㄨ   ㄓㄢˇㄎㄞ 		The relevant seal inscription form is 尸# buttocks + an element combining an abbreviated form of 衣 clothing and four objects in the shape of the character 工 (suggesting a pile of objects weighing another object down) | place the buttocks atop an object, causing it to *spread* in being flattened (compare 尉) | *expand* | *show*. 	images-large/5c55-large.gif
跑	753		跑	pǎo	run	run, flee, leave in hurry	跑步 慢跑 奔跑	pǎobù mànpǎo bēnpǎo	[sound:mp3/pao3.mp3]	586	ㄆㄠˇ	ㄆㄠˇㄅㄨ`  ㄇㄢ`ㄆㄠˇ  ㄅㄣ ㄆㄠˇ	['㇑', '㇕', '㇐', '㇑', '㇐', '㇑', '㇀', '㇒', '㇆', '㇕', '㇐', '㇟']	包# envelop + 足 leg/foot | paw/hoof etc. of a beast enveloped by dirt in scratching at the earth | *run*/*flee* (← dirt kicked up by a fleeing animal). 	images-large/8dd1-large.gif
付	754		付	fù	pay	give, deliver, pay, hand over; entrust	付出 對付 應付	fùchū duìfu yìngfu	[sound:mp3/fu4.mp3]	953	ㄈㄨ`	ㄈㄨ`ㄔㄨ   ㄉㄨㄟ`ㄈㄨ˙  ㄧㄥ`ㄈㄨ˙	['㇒', '㇑', '㇐', '㇚', '㇔']	An abbreviated form# of 尌 as described in 樹 (set/stand in place) + 人 person (| human agency) | set/stand in place or spread over by attaching | *attach*; *be attached*. Extended meanings include *apply*, *per*, *hand something to*, *entrust*, *deposit*, *set*, *bill* and *credit*. 	images-large/4ed8-large.gif
附	755		附	fù	attach	adhere to, append; rely on near to	附近 附加 附上	fùjìn fùjiā fùshàng	[sound:mp3/fu4.mp3]	587	ㄈㄨ`	ㄈㄨ`ㄐㄧㄣ`  ㄈㄨ`ㄐㄧㄚ   ㄈㄨ`ㄕㄤ`	['㇌', '㇑', '㇒', '㇑', '㇐', '㇚', '㇔']	As per 付# (set in place) + 阜 piled earth | compacted earth set firmly in place. This meaning eventually dropped, and 附 now expresses the same meanings as 付: *attach*; *be attached*; *apply*; *per*; *hand something to*; *entrust*; *deposit*; *set*; *bill* and *credit*. In modern Japanese usage, 附 is often replaced by 付. 	images-large/9644-large.gif
嘛	756		嘛	ma	(pause marker)	final exclamatory particle	幹嘛	gànmá	[sound:mp3/ma1.mp3]	588	ㄇㄚ˙	ㄍㄢ`ㄇㄚˊ	['㇑', '㇕', '㇐', '㇔', '㇐', '㇓', '㇐', '㇑', '㇒', '㇔', '㇐', '㇑', '㇒', '㇏']	口 mouth + the traditional form of 麻# for the sound alone to transliterate the second syllable of the Tibetan (b)lama (喇嘛). 	images-large/561b-large.gif
丸	757		丸	wán	pill	small round object; pellet, pill			[sound:mp3/wan2.mp3]	1520	ㄨㄢˊ		['㇓', '㇈', '㇔']	"The relevant seal inscription form is 人 person bending beneath a curved line# suggesting a cliff (compare 宛) | *round*; *circular*; *spherical* (← posture of the figure) | *roll up*; *make a ball of*; *wad up*. Also, *entire* (← complete ← round). *Suffix in the names of ships* is by confusion with the classical Japanese term まろ (maro), meaning ""lineage.""  "	images-large/4e38-large.gif
執	758		执	zhí	clench	hold in hand; keep; carry out	執行 固執 執照	zhíxíng gùzhí zhízhào	[sound:mp3/zhi2.mp3]	589	ㄓˊ	ㄓˊㄒㄧㄥˊ  ㄍㄨ`ㄓˊ  ㄓˊㄓㄠ`	['㇐', '㇑', '㇐', '㇔', '㇒', '㇐', '㇐', '㇑', '㇓', '㇈', '㇔']	Originally, an abbreviated form# of 睪 (align) + 丮 (kneeling figure with arms extended) | extend the arms to bind a captive | *seize* (compare 奪); *grasp*; *take* | *do*; *execute/carry out* (← carry out a sentence) | *handle*; *treat*; *take pains*. In 執 as in 埶, 丮 came to written as 丸. 	images-large/6267-large.gif
曰	759		曰	yuē	sayeth	say; KangXi radical 73			[sound:mp3/yue1.mp3]	1740	ㄩㄝ			As per 一# (fullness) + 口 mouth | mouth figuratively filled with words | *say*; *speech indicator*. 	images-large/66f0-large.gif
昌	760		昌	chāng	prosperous	light of sun; good, proper			[sound:mp3/chang1.mp3]	1499	ㄔㄤ		['㇑', '㇕', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐']	Originally, an abbreviated form# of 昜 (bright) + 曰 say/speech indicator | chant/recite in a *bright*/*clear* voice | *prosper* (← bright conditions). A seal inscription form simplifies the character to 曰 + 日 sun/day. 	images-large/660c-large.gif
唱	761		唱	chàng	sing	sing, chant, call; ditty, song	唱歌 合唱 演唱	chànggē héchàng yǎnchàng	[sound:mp3/chang4.mp3]	590	ㄔㄤ`	ㄔㄤ`ㄍㄜ   ㄏㄜˊㄔㄤ`  ㄧㄢˇㄔㄤ`	['㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐']	As per 昌# (chant; recite) + 口 mouth | *chant*; *recite* | *advocate*; *advance* (a theory). 唱 was devised to replace 昌 after the latter came to refer to brightness. 	images-large/5531-large.gif
技	762		技	jì	skill	skill, ability, talent, ingenuity	技巧 科技 技術	jìqiǎo kējì jìshù	[sound:mp3/ji4.mp3]	591	ㄐㄧ`	ㄐㄧ`ㄑㄧㄠˇ  ㄎㄜ ㄐㄧ`  ㄐㄧ`ㄕㄨ`	['㇐', '㇚', '㇀', '㇐', '㇑', '㇇', '㇏']	As per 支# (skillfully manipulate) + 手 hand/action indicator | *technique* involving skillful manipulation | *skill* | *accomplishment*. 	images-large/6280-large.gif
某	763		某	mǒu	such and such	certain thing or person	某些	mǒuxiē	[sound:mp3/mou3.mp3]	592	ㄇㄡˇ	ㄇㄡˇㄒㄧㄝ 	['㇐', '㇑', '㇑', '㇐', '㇐', '㇐', '㇑', '㇒', '㇏']	木# tree/wood + 甘 (sweet food contained in the mouth) | plum (i.e., a dark fruit that grows in  abundance, and is consumed by being savored in the mouth). Compare 梅. *A certain* and *some* are borrowed meanings. 	images-large/67d0-large.gif
硬	764		硬	yìng	hard	hard, firm, strong; obstinate	堅硬 生硬 硬體	jiānyìng shēngyìng yìngtǐ	[sound:mp3/ying4.mp3]	593	ㄧㄥ`	ㄐㄧㄢ ㄧㄥ`  ㄕㄥ ㄧㄥ`  ㄧㄥ`ㄊㄧˇ	['㇐', '㇒', '㇑', '㇕', '㇐', '㇐', '㇑', '㇕', '㇐', '㇐', '㇓', '㇏']	As per 更# (stretch) + 石 stone | line of stones stretching between two points | *hard* (as a rock) | *stiff*; *stern*; *obstinate*. 	images-large/786c-large.gif
斯	765		斯	sī	Sphinx	this, thus, such; to lop off; emphatic particle	伊斯蘭教 斯文 瓦斯	Yīsīlánjiào sīwén wǎsī	[sound:mp3/si1.mp3]	594	ㄙ	ㄧ ㄙ ㄌㄢˊㄐㄧㄠ`  ㄙ ㄨㄣˊ  ㄨㄚˇㄙ 	['㇐', '㇑', '㇑', '㇐', '㇐', '㇐', '㇒', '㇔', '㇒', '㇓', '㇐', '㇑']	斤 ax + 其# (winnow) | *split* apart a winnow. *This*, *such* and *namely* are borrowed meanings. 	images-large/65af-large.gif
云	766		云	yún	utter	say, speak; clouds			[sound:mp3/yun2.mp3]	1799	ㄩㄣˊ		['㇐', '㇐', '㇜', '㇔']	A depiction of vapors rising from a heat source and adhering to walls or the ceiling | *mumble*; *say* (← vaporous/ambiguous utterances). 	images-large/4e91-large.gif
雲	767		云	yún	cloud	clouds			[sound:mp3/yun2.mp3]	595	ㄩㄣˊ		['㇐', '㇔', '㇖', '㇑', '㇐', '㇐', '㇐', '㇐', '㇐', '㇐', '㇜', '㇔']	As per 云# (adhering vapors) + 雨 rain/natural phenomena | *cloud* (vapor-filled, steam-like object). 	images-large/4e91-large.gif
遊	768		游	yóu	tour	wander, roam, travel	旅遊 遊客 導遊	lǚyóu yóukè dǎoyóu	[sound:mp3/you2.mp3]	596	ㄧㄡˊ	undefinedˇㄧㄡˊ  ㄧㄡˊㄎㄜ`  ㄉㄠˇㄧㄡˊ		As per 斿# (float) + 辵 movement | *roam*/*wander* as if floating about | *move about freely* | *recreation*; *play*; *nomadism*; *be at ease*. Extended meanings include *game*; *pastime*; *diversion*; *amusement*; *pleasure*; *enjoyment*; *have fun*; *take a vacation*; *be idle*; *be out of use* and *leave free/idle*. Also, *deign to* (← undertake at one's pleasure). 	images-large/6e38-large.gif
息	769		息	xī	breath	rest, put stop to, end, cease	休息 消息 利息	xiūxi xiāoxi lìxī	[sound:mp3/xi1.mp3]	597	ㄒㄧ	ㄒㄧㄡ ㄒㄧ˙  ㄒㄧㄠ ㄒㄧ˙  ㄌㄧ`ㄒㄧ 	['㇒', '㇑', '㇕', '㇐', '㇐', '㇐', '㇔', '㇃', '㇔', '㇔']	As per 自# (nose) + 心 heart/emotions | breathe through the nostrils in rhythm with the beating of the heart | *breath* | *live* | *give birth*; *increase*. Also, *stop*; *rest* (← stops and starts of steady breathing); *interest* (← increase); *son* (← give birth). 	images-large/606f-large.gif
助	770		助	zhù	assist	help, aid, assist	幫助 協助 助理	bāngzhù xiézhù zhùlǐ	[sound:mp3/zhu4.mp3]	598	ㄓㄨ`	ㄅㄤ ㄓㄨ`  ㄒㄧㄝˊㄓㄨ`  ㄓㄨ`ㄌㄧˇ	['㇑', '㇕', '㇐', '㇐', '㇐', '㇆', '㇓']	As per 且# (pile) + 力 power/energy | supplementary power that assists in piling | *help*; *assistance* | *save*; *rescue*. 	images-large/52a9-large.gif
須	771		须	xū	have to	must, have to, necessary; moment; whiskers	必須 須知	bìxū xūzhī	[sound:mp3/xu1.mp3]	599	ㄒㄩ	ㄅㄧ`ㄒㄩ   ㄒㄩ ㄓ 	['㇒', '㇒', '㇒', '㇐', '㇒', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	A depiction of an old man with a long, soft *beard*. The present form is 彡 pattern (here suggesting beard whiskers) + 頁 head. *Necessary*, *should* and *ought* are borrowed meanings. 	images-large/987b-large.gif
苦	772		苦	kǔ	suffering	bitter; hardship, suffering	辛苦 痛苦 吃苦	xīnkǔ tòngkǔ chīkǔ	[sound:mp3/ku3.mp3]	600	ㄎㄨˇ	ㄒㄧㄣ ㄎㄨˇ  ㄊㄨㄥ`ㄎㄨˇ  ㄔ ㄎㄨˇ	['㇐', '㇑', '㇑', '㇐', '㇑', '㇑', '㇕', '㇐']	古# hard; dried out + 艸 grass/plant | *bitter* plant that makes the mouth go dry | *stubborn*; *pain*; *agony*; *suffering*; *hardship*; *trying* (experience); *exert oneself*; *worry*; *distress*; *pressure*; *torment*; *torture*; *be at a loss*; *embarrassment*. 	images-large/82e6-large.gif
效	773		效	xiào	effect	result, effect; effectiveness	效果 有效 效率	xiàoguǒ yǒuxiào xiàolǜ	[sound:mp3/xiao4.mp3]	602	ㄒㄧㄠ`	ㄒㄧㄠ`ㄍㄨㄛˇ  ㄧㄡˇㄒㄧㄠ`  ㄒㄧㄠ`undefined`	['㇔', '㇐', '㇒', '㇔', '㇒', '㇏', '㇒', '㇐', '㇒', '㇏']	As per 交# (twist/cross) + 攵 action indicator | cross two objects in comparing them | *take after*. *Effective* is a borrowed meaning via 効. 	images-large/6548-large.gif
質	774		质	zhì	quality	matter, material, substance	品質 蛋白質 物質	pǐnzhì dànbáizhì wùzhì	[sound:mp3/zhi4.mp3]	604	ㄓ`	ㄆㄧㄣˇㄓ`  ㄉㄢ`ㄅㄞˊㄓ`  ㄨ`ㄓ`	['㇒', '㇓', '㇐', '㇑', '㇒', '㇓', '㇐', '㇑', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	斦 is 斤 ax doubled, emphasizing splitting. 質 adds 貝, here an abbreviated form# of 實 (house full of treasures) | split one's belongings | *pawn* | *hostage*; *mortgage* | *quality/content*; *nature*; *verify*; *ask* | *simple* (← simple reality). 	images-large/8d28-large.gif
例	775		例	lì	example	precedent, example; regulation	例如 例子 比例	lìrú lìzi bǐlì	[sound:mp3/li4.mp3]	605	ㄌㄧ`	ㄌㄧ`ㄖㄨˊ  ㄌㄧ`ㄗ˙  ㄅㄧˇㄌㄧ`	['㇒', '㇑', '㇐', '㇒', '㇇', '㇔', '㇑', '㇚']	列# row + 人 person (| human agency) | line objects in rows | *line up objects of the same kind*; *example*; *usual*; (the ones) *in question* | *compare* (← compare a line of similar  objects); *for example*. 	images-large/4f8b-large.gif
矣	776		矣	yǐ		particle of completed action			[sound:mp3/yi3.mp3]	1976	ㄧˇ		['㇜', '㇔', '㇒', '㇐', '㇐', '㇓', '㇏']	The relevant seal inscription form indicates an arrow hitting a squarish, lumpy target and coming to a stop. For the idea of stopping, compare 處 and 醫. 矣 was eventually employed as a *particle* indicating the completion of an action. 	images-large/77e3-large.gif
唉	777		唉	āi	sigh--ay-ay	alas, exclamation of surprise or pain			[sound:mp3/ai1.mp3]	606	ㄞ		['㇑', '㇕', '㇐', '㇜', '㇔', '㇒', '㇐', '㇐', '㇓', '㇏']	As per 矣# (come to a stop) + 口 mouth | strangled sound (compare 誒) that stops in the throat without being properly voiced | *utterance of lamentation/pain* | *alas*. 	images-large/5509-large.gif
職	778		职	zhí	job	duty, profession; office, post	職業 職員 辭職	zhíyè zhíyuán cízhí	[sound:mp3/zhi2.mp3]	607	ㄓˊ	ㄓˊㄧㄝ`  ㄓˊㄩㄢˊ  ㄘˊㄓˊ		As per 戠# as described in 織 (marker) + 耳 ear | hear/take note of and mark down (as part of one's job) | *assignment*; *duties*; *employment*. 	images-large/804c-large.gif
復	779		复	fù	recover	return; repeat; repeatedly	恢復 報復 復甦	huīfù bàofù fùsū	[sound:mp3/fu4.mp3]	608	ㄈㄨ`	ㄏㄨㄟ ㄈㄨ`  ㄅㄠ`ㄈㄨ`  ㄈㄨ`ㄙㄨ 		As per 复# as described in 腹 (double back) + 彳 movement | double back along the same course | *return* | *repeat*; *once more*. Also, *report* (← repeat that which has happened by reporting it). 	images-large/590d-large.gif
輸	780		输	shū	transport	transport, carry, haul	輸出 輸入 運輸	shūchū shūrù yùnshū	[sound:mp3/shu1.mp3]	609	ㄕㄨ	ㄕㄨ ㄔㄨ   ㄕㄨ ㄖㄨ`  ㄩㄣ`ㄕㄨ 	['㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇒', '㇏', '㇐', '㇓', '㇆', '㇐', '㇐', '㇑', '㇚']	兪# remove + 車 vehicle | take up goods from one place and *send/transport* (i.e., remove) them elsewhere. 	images-large/8f93-large.gif
節	781		节	jié	holiday	knot, node, joint; section	節目 春節 季節	jiémù Chūnjié jìjié	[sound:mp3/jie2.mp3]	610	ㄐㄧㄝˊ	ㄐㄧㄝˊㄇㄨ`  ㄔㄨㄣ ㄐㄧㄝˊ  ㄐㄧ`ㄐㄧㄝˊ		As per 即# (immediately beside) + 竹 bamboo | knots of a bamboo tree in proximate alignment | *knot*; *joint*; *knob*; *section*. Also, *season* (← 1/24th of a year), *tune/melody* (← song punctuated by many stops) and *frugal* (← join segments in economizing). 	images-large/8282-large.gif
規	782		规	guī	regulations	rules, regulations, customs, law	規矩 規模 規定	guīju guīmó guīdìng	[sound:mp3/gui1.mp3]	611	ㄍㄨㄟ	ㄍㄨㄟ ㄐㄩ˙  ㄍㄨㄟ ㄇㄛˊ  ㄍㄨㄟ ㄉㄧㄥ`	['㇐', '㇐', '㇓', '㇏', '㇑', '㇕', '㇐', '㇐', '㇐', '㇓', '㇟']	"The relevant seal inscription form of the left-hand element# is an ancient, *compass*-like measuring implement. + 見 see | observe in taking measurements"" | *measure*; *standard*; *plan*; *place limits upon*. "	images-large/89c4-large.gif
注	783		注	zhù	pour	concentrate, focus, direct	注意 注射 注目	zhùyì zhùshè zhùmù	[sound:mp3/zhu4.mp3]	612	ㄓㄨ`	ㄓㄨ`ㄧ`  ㄓㄨ`ㄕㄜ`  ㄓㄨ`ㄇㄨ`	['㇔', '㇔', '㇀', '㇔', '㇐', '㇐', '㇑', '㇐']	As per 主# (stationary) + 水 water | *pour* liquid into a tubular container, where it becomes and remains stationary | *pour on*; *sprinkle*; *water* (plants); *flow/empty into*; *irrigate*. *Notice*, *pay attention*, *concentrate on*, *affix*, *interpret*, and *write down* are borrowed meanings. 	images-large/6ce8-large.gif
畢	784		毕	bì	complete	end, finish, conclude; completed	畢業 畢竟 完畢	bìyè bìjìng wánbì	[sound:mp3/bi4.mp3]	613	ㄅㄧ`	ㄅㄧ`ㄧㄝ`  ㄅㄧ`ㄐㄧㄥ`  ㄨㄢˊㄅㄧ`		A depiction of a net spread over prey attempting to split away in escape, indicating the *end* of a chase | *finish*; *complete*. 	images-large/6bd5-large.gif
查	785		查	chá	investigate	investigate, examine, seek into	檢查 調查 審查	jiǎnchá diàochá shěnchá	[sound:mp3/cha2.mp3]	614	ㄔㄚˊ	ㄐㄧㄢˇㄔㄚˊ  ㄉㄧㄠ`ㄔㄚˊ  ㄕㄣˇㄔㄚˊ	['㇐', '㇑', '㇒', '㇏', '㇑', '㇕', '㇐', '㇐', '㇐']		images-large/67e5-large.gif
熱	786		热	rè	heat	hot; heat; fever; restless; zeal	熱鬧 熱狗 熱水	rènao règǒu rèshuǐ	[sound:mp3/re4.mp3]	615	ㄖㄜ`	ㄖㄜ`ㄋㄠ˙  ㄖㄜ`ㄍㄡˇ  ㄖㄜ`ㄕㄨㄟˇ	['㇐', '㇑', '㇐', '㇒', '㇔', '㇐', '㇑', '㇐', '㇓', '㇈', '㇔', '㇔', '㇔', '㇔', '㇔']	As per 埶# (cut) + 火 fire | burn off extraneous objects | *heat* | *hot*. 	images-large/70ed-large.gif
油	787		油	yóu	oil	oil, fat, grease, lard; paints	加油 醬油 石油	jiāyóu jiàngyóu shíyóu	[sound:mp3/you2.mp3]	616	ㄧㄡˊ	ㄐㄧㄚ ㄧㄡˊ  ㄐㄧㄤ`ㄧㄡˊ  ㄕˊㄧㄡˊ	['㇔', '㇔', '㇀', '㇑', '㇕', '㇐', '㇑', '㇐']	As per 由# (pass/run through) + 水 water/liquid | *oil* running through the mouth of its container in being poured. 	images-large/6cb9-large.gif
良	788		良	liáng	high-quality	good, virtuous, respectable	良好 不良 優良	liánghǎo bùliáng yōuliáng	[sound:mp3/liang2.mp3]	780	ㄌㄧㄤˊ	ㄌㄧㄤˊㄏㄠˇ  ㄅㄨ`ㄌㄧㄤˊ  ㄧㄡ ㄌㄧㄤˊ	['㇔', '㇕', '㇐', '㇐', '㇙', '㇒', '㇏']	The relevant oracle bone form of this character shows a grain/kernel being washed in the flow of a pure stream | *good* (← pure) | *superior*; *truly*; *considerably*. 	images-large/826f-large.gif
食	789		食	shí	food	eat; meal; food; KangXi radical number 184	食物 糧食 偏食	shíwù liángshi piānshí	[sound:mp3/shi2.mp3]	1045	ㄕˊ	ㄕˊㄨ`  ㄌㄧㄤˊㄕ˙  ㄆㄧㄢ ㄕˊ	['㇒', '㇏', '㇔', '㇕', '㇐', '㇐', '㇙', '㇒', '㇔']	The relevant oracle bone form of this character combines the top element as described in 今 (cover) + a depiction of heaped grain | grain in a covered pile in a storehouse | *eat*; *feed*; *drink*; *consume* | *make a living*. Also, *strike/absorb a blow*, *scold/be scolded*, *defeat/be  defeated* and *lose* (territory/market share etc.) (← figuratively eat or be eaten into). (Insect) *bite* is a borrowed meaning via 蝕. 	images-large/98df-large.gif
館	790		馆	guǎn	Bldg.	public building	圖書館 飯館 旅館	túshūguǎn fànguǎn lǚguǎn	[sound:mp3/guan3.mp3]	617	ㄍㄨㄢˇ	ㄊㄨˊㄕㄨ ㄍㄨㄢˇ  ㄈㄢ`ㄍㄨㄢˇ  undefinedˇㄍㄨㄢˇ	['㇒', '㇔', '㇔', '㇕', '㇐', '㇐', '㇙', '㇔', '㇔', '㇔', '㇖', '㇑', '㇕', '㇐', '㇕', '㇐']	As per 官# (official building) + 食 food/eating | official building for taking meals | (large) *building*; *inn*; *shop*. Also, *fort*, *mansion* and *place where cultural activities are held*. 	images-large/9986-large.gif
態	791		态	tài	attitude	manner, bearing, attitude	態度 狀態 動態	tàidu zhuàngtài dòngtài	[sound:mp3/tai4.mp3]	618	ㄊㄞ`	ㄊㄞ`ㄉㄨ˙  ㄓㄨㄤ`ㄊㄞ`  ㄉㄨㄥ`ㄊㄞ`	['㇜', '㇔', '㇑', '㇆', '㇐', '㇐', '㇒', '㇟', '㇒', '㇟', '㇔', '㇃', '㇔', '㇔']	As per 能# (bear) + 心 heart/emotions | bear-like attribute(s) | *attitude*; *condition* (← state of mind or circumstances involving the bear-like attributes in question). *Keep up appearances* is a borrowed meaning. 	images-large/6001-large.gif
亭	792		亭	tíng	pavilion	pavilion; erect			[sound:mp3/ting2.mp3]	2359	ㄊㄧㄥˊ		['㇔', '㇐', '㇑', '㇕', '㇐', '㇔', '㇖', '㇐', '㇚']	As per 丁# (straight) + an abbreviated form of 高 tall/high | object that stands straight and tall | *pavilion*; *arbor*; *watchtower*; *restaurant*. 	images-large/4ead-large.gif
停	793		停	tíng	halt	stop, suspend, delay; suitable	停車場 停止 停頓	tíngchēchǎng tíngzhǐ tíngdùn	[sound:mp3/ting2.mp3]	619	ㄊㄧㄥˊ	ㄊㄧㄥˊㄔㄜ ㄔㄤˇ  ㄊㄧㄥˊㄓˇ  ㄊㄧㄥˊㄉㄨㄣ`	['㇒', '㇑', '㇔', '㇐', '㇑', '㇕', '㇐', '㇔', '㇖', '㇐', '㇚']	As per 亭# (stand/stand straight) + 人 person | person standing straight, having come to a *stop* | *stay*; *suspend*. 	images-large/505c-large.gif
福	794		福	fú	happiness	happiness, good fortune, blessing	幸福 福利 祝福	xìngfú fúlì zhùfú	[sound:mp3/fu2.mp3]	620	ㄈㄨˊ	ㄒㄧㄥ`ㄈㄨˊ  ㄈㄨˊㄌㄧ`  ㄓㄨ`ㄈㄨˊ	['㇔', '㇇', '㇑', '㇔', '㇐', '㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇑', '㇐']	As per 畐# as described in 副 (abundance) + 示 altar/the supernatural | abundant blessings from the gods/heaven | *blessing*; *wealth*; (good) *fortune*. 	images-large/798f-large.gif
救	795		救	jiù	rescue	save, rescue, relieve; help, aid	救護車 救命 救火	jiùhùchē jiùmìng jiùhuǒ	[sound:mp3/jiu4.mp3]	621	ㄐㄧㄡ`	ㄐㄧㄡ`ㄏㄨ`ㄔㄜ   ㄐㄧㄡ`ㄇㄧㄥ`  ㄐㄧㄡ`ㄏㄨㄛˇ		As per 求# (wrap) + 攵 action indicator | wrap the arms about a person in effecting a rescue | *rescue*; *save*; *help*. 	images-large/6551-large.gif
倒	796		倒	dào	upside down	fall over; lie down; take turns	倒是 倒楣 跌倒	dàoshi dǎoméi diēdǎo	[sound:mp3/dao4.mp3]	622	ㄉㄠ`	ㄉㄠ`ㄕ˙  ㄉㄠˇㄇㄟˊ  ㄉㄧㄝ ㄉㄠˇ	['㇒', '㇑', '㇐', '㇜', '㇔', '㇐', '㇑', '㇐', '㇑', '㇚']	As per 到# (trace an arc) + 人 person (| human agency) | cause to *fall*, *topple* or *collapse* | *fell*; *put/lay down* (an object on its side); *defeat*. 	images-large/5012-large.gif
親	797		亲	qīn	relatives	relatives, parents; intimate	父親 母親 親切	fùqīn mǔqīn qīnqiè	[sound:mp3/qin1.mp3]	623	ㄑㄧㄣ	ㄈㄨ`ㄑㄧㄣ   ㄇㄨˇㄑㄧㄣ   ㄑㄧㄣ ㄑㄧㄝ`	['㇔', '㇐', '㇔', '㇒', '㇐', '㇐', '㇚', '㇒', '㇔', '㇑', '㇕', '㇐', '㇐', '㇐', '㇓', '㇟']	The left-hand element# as described in 新 (sharp, and in close proximity) + 見 see; watch | observe others sharply | *parent*; *relative*; *intimate* (← be in a close relationship and receive direct stimulus); *group leader*. 	images-large/4eb2-large.gif
害	798		害	hài	harm	injure, harm; destroy, kill	害羞 害怕 厲害	hàixiū hàipà lìhai	[sound:mp3/hai4.mp3]	624	ㄏㄞ`	ㄏㄞ`ㄒㄧㄡ   ㄏㄞ`ㄆㄚ`  ㄌㄧ`ㄏㄞ˙	['㇔', '㇔', '㇖', '㇐', '㇐', '㇐', '㇑', '㇑', '㇕', '㇐']	The relevant bronzeware inscription form combines 丯# as described in 契 (cut through and separate) + 口 mouth | *harm* or *damage* caused by something cut/bitten through and thus separated | *prevent*/*hinder* (← prevent/hinder by separating). In the derivative characters 瞎 and 豁, the lower vertical stroke of 害 extends down to the 口 element. 	images-large/5bb3-large.gif
亂	799		乱	luàn	chaos	confusion, state of chaos; create chaos, revolt	混亂 動亂 胡亂	hùnluàn dòngluàn húluàn	[sound:mp3/luan4.mp3]	625	ㄌㄨㄢ`	ㄏㄨㄣ`ㄌㄨㄢ`  ㄉㄨㄥ`ㄌㄨㄢ`  ㄏㄨˊㄌㄨㄢ`	['㇒', '㇔', '㇔', '㇒', '㇖', '㇔', '㇑', '㇆', '㇜', '㇔', '㇇', '㇏', '㇟']	The relevant bronzeware inscription form shows the left-hand element to have been two hands untangling a ball of threads by by pulling the threads up and down (compare 䜌 as described in 戀). Meanwhile, 乚 is a variant of 乙 (rise and hit a block). The combination of elements suggests a ball of tangled threads | *confusion*; *disorder* | *disturb*; *disarrange*; *rebel*; *riot*. 	images-large/4e71-large.gif
步	800		步	bù	footstep	step, pace; walk, stroll	跑步 進步 散步	pǎobù jìnbù sànbù	[sound:mp3/bu4.mp3]	627	ㄅㄨ`	ㄆㄠˇㄅㄨ`  ㄐㄧㄣ`ㄅㄨ`  ㄙㄢ`ㄅㄨ`			images-large/6b65-large.gif
寶	801		宝	bǎo	treasure	treasure, jewel; precious, rare	寶貝 寶貴 寶寶	bǎobèi bǎoguì bǎobǎo	[sound:mp3/bao3.mp3]	628	ㄅㄠˇ	ㄅㄠˇㄅㄟ`  ㄅㄠˇㄍㄨㄟ`  ㄅㄠˇㄅㄠˇ	['㇔', '㇔', '㇖', '㇐', '㇐', '㇑', '㇐', '㇒', '㇐', '㇐', '㇑', '㇗', '㇑', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	This character was written with a combination of many different elements before 寶 was settled upon as the standard form. Among these combinations, most of the forms featured both 宀 roof/building and 貝 commodities. The phonetic similarity to 富 suggests that the original idea of the character that came to be written 寶 was that of 富, namely, a building stocked with abundant possessions | *treasure* | *currency* | *cherish*. 	images-large/5b9d-large.gif
擊	802		击	jī	beat	strike, hit, beat; attack, fight	衝擊 打擊 反擊	chōngjī dǎjī fǎnjī	[sound:mp3/ji1.mp3]	629	ㄐㄧ	ㄔㄨㄥ ㄐㄧ   ㄉㄚˇㄐㄧ   ㄈㄢˇㄐㄧ 		The top element# is a variant of 毄 hit. 擊 adds 手 hand/action indicator | *hit*; *strike* | *attack*; *shoot/fire* (a gun). 	images-large/51fb-large.gif
舉	803		举	jǔ	lift up	raise, lift up; recommend	舉辦 舉手 舉行	jǔbàn jǔshǒu jǔxíng	[sound:mp3/ju3.mp3]	630	ㄐㄩˇ	ㄐㄩˇㄅㄢ`  ㄐㄩˇㄕㄡˇ  ㄐㄩˇㄒㄧㄥˊ			images-large/4e3e-large.gif
冬	804		冬	dōng	winter	winter, 11th lunar month	冬天 冬季	dōngtiān dōngjì	[sound:mp3/dong1.mp3]	1419	ㄉㄨㄥ	ㄉㄨㄥ ㄊㄧㄢ   ㄉㄨㄥ ㄐㄧ`	['㇒', '㇇', '㇏', '㇔', '㇔']	Originally, a depiction# of food tied to a cord that winds about a peg. A seal inscription form adds 氷 ice | *winter* (season when preserved/stored food is consumed). Compare 蓄. 	images-large/51ac-large.gif
